node,CLUSTER,s_eq,eigenvector_centrality,conexiones_anomalas,indice_frontera,d_anom,p_anom,degree_total
Juegos Panamericanos,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Organismos internacionales como la Unesco,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Candidatos presidenciales,0,0.0,0.0,1.5,0.45814536593707755,0,0.0,3
"Entrenadores, dirigentes y deportistas",0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Carlos Osoro Sierra,-1,-1.0,7.454228802863899e-19,0.0,0.0,0,0.0,1
Secretaría Regional Ministerial de Vivienda y Urbanismo de la Región Metropolitana,0,-1.0,0.0,0.0,0.0,0,0.0,2
Consejo de Defensa del Estado,0,0.0,0.0,1.5,0.45814536593707755,0,0.0,3
Esteban Baraona,0,-1.0,0.0,0.0,0.0,0,0.0,1
Progressive and Left-wing Sectors,-1,-1.0,0.02800252625687658,0.0,0.0,0,0.0,1
Un parlamentario de derecha,1,-1.0,-0.0003431379578921508,0.0,0.0,0,0.0,3
Tohá,-1,-0.3333333333333333,1.752770860240257e-18,1.3333333333333335,0.28243262012906795,0,0.0,4
La Pincoya,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Lowsan Melgar,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Samuel Troc,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Travy Joe,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Jahaziel Band,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Gaby Sampedro,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Exministra del Interior,0,-1.0,0.0,0.0,0.0,0,0.0,3
Felipe Gálvez,0,1.0,0.0,0.0,0.0,0,0.0,2
Juan Castro,1,-1.0,-0.0026843932139569587,0.0,0.0,1,0.3333333333333333,3
Vincent Nichols,0,-1.0,0.0,0.0,0.0,0,0.0,2
Gian Maria Vian,-1,-1.0,-0.0015956492123197863,0.0,0.0,0,0.0,1
Pablo Abufom,0,0.0,0.0,2.5,0.626381484247684,0,0.0,5
Manuel Hasbún,0,0.0,0.0,1.5,0.45814536593707755,0,0.0,3
Hassan Zerán,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Denisse Abarca Abdala,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Octavio Paz,-1,-1.0,0.0018979387557658631,0.0,0.0,0,0.0,1
Sergio Sánchez,-1,-1.0,0.029279680756120145,0.0,0.0,0,0.0,4
Valeria Mazza,0,0.0,0.0,1.5,0.45814536593707755,0,0.0,3
Fernando Pairicán,0,-1.0,0.0,0.0,0.0,0,0.0,3
Sebastián Naveillan,-1,-1.0,-0.02927651398736201,0.0,0.0,0,0.0,3
Faride Zerán,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Diamela Eltit,0,-1.0,0.0,0.0,0.0,0,0.0,8
Consejo Regional de Arica y Parinacota,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Marcela Ríos Tobar,-1,-1.0,0.005111096642068093,0.0,0.0,0,0.0,3
Isabel Aninat,-1,-1.0,0.00022294164088935782,0.0,0.0,0,0.0,2
Jennifer Galvarini,0,1.0,0.0,0.0,0.0,0,0.0,4
Proprietor of the house,0,0.0,0.0,1.5,0.45814536593707755,0,0.0,3
Captain of Carabineros of 25ª Comisaría de Maipú,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Brigada de Robos de la Policía de Investigaciones,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Lenin Fuentes,-1,-1.0,0.007708363223535301,0.0,0.0,0,0.0,1
Melania Moya,-1,-1.0,0.007708363223535301,0.0,0.0,0,0.0,1
Carlos Zúñiga,-1,-1.0,0.0077083632235353024,0.0,0.0,0,0.0,1
Lindomar Amaro,0,0.0,0.0,1.5,0.45814536593707755,0,0.0,3
José María Del Pino,0,-1.0,0.0,0.0,0.0,0,0.0,5
Francisco Halzinki,0,0.0,0.0,2.0,0.5493061443340549,0,0.0,4
Natu Urtubias,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Pía Pérez,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Delegación Presidencial,-1,-0.2,0.012173564561945904,4.0,0.6437751649736402,0,0.0,10
Dirección de Bienestar de Carabineros,0,-1.0,0.0,0.0,0.0,0,0.0,5
Secretaría de la Cámara,-1,0.0,0.0019397273864084868,1.0,0.34657359027997264,0,0.0,2
Mesa de la Cámara,-1,-0.3333333333333333,0.0033113227788064896,1.666666666666667,0.3269430843372421,0,0.0,5
José Miguel Ventura,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Miuccia Prada,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Raf Simons,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
PIT-CNT,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Mecanismo Nacional de Prevención de la Tortura,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Comisión Mixta del Congreso,0,0.0,0.0,2.0,0.5493061443340549,0,0.0,4
Relatores Especiales de la ONU,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Organización Mundial contra la Tortura,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Comité para la Prevención de la Tortura,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Charles Darwin,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Emma Wedgwood,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Agrupación de Universidades Regionales,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Asociación de Gobernadoras Regionales,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Asociación Chilena de Municipalidades,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Premios Nacionales,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Joseph Jackson,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Quincy Jones,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Ignacio Lastra,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Asociación Suiza de Fútbol,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Jugador Juvenil de Lucerna,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Alisha Lehmann,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Medio 24 Heures,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Cuomo,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Gonzalo Said,0,-1.0,0.0,0.0,0.0,0,0.0,2
Alejandro Alzérreca,1,0.0,0.028002526256876565,1.0,0.34657359027997264,1,1.0,2
"Sindicatos 1, 2 y 3 de Televisión Nacional",1,1.0,0.007825206166201503,0.0,0.0,0,0.0,1
Hernán Rosas,1,1.0,0.007825206166201507,0.0,0.0,0,0.0,1
Claudia Ferreira,1,1.0,0.0005812912476497454,0.0,0.0,0,0.0,1
Esteban Trebucq,1,1.0,0.0005812912476497456,0.0,0.0,0,0.0,1
Zohran Kwame Mamdani,-1,-0.2,0.0006637215257785064,2.4000000000000004,0.48951017264884644,1,0.5,6
Ian Moche,1,1.0,0.0007776084280277964,0.0,0.0,0,0.0,4
Lucas Leiros,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
